"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Nord Kivu","Biena Hospital",0,28.8865,0.3208
"2","Nord Kivu","Katwa Hospital",0,29.3706,0.1164
"3","Nord Kivu","Mabalako Hospital",0,29.314,0.6064
"4","Nord Kivu","Musienene Hospital",0,29.2478,0.017
"5","Nord Kivu","Vuhovi Hospital",0,29.4062,0.1426
"6","Nord Kivu","Beni Hospital",0.0261501080953024,29.4653,0.4939
"7","Nord Kivu","Kalunguta Hospital",0.0417433092136435,29.444,0.4881
"8","Nord Kivu","Butembo Hospital",0.157212442348223,29.2227,0.118
"9","Nord Kivu","Kyondo Hospital",0.295739515646122,29.3991,4e-04
"10","Nord Kivu","Masereka Hospital",0.361115729193481,29.3143,-0.1392
"11","Nord Kivu","Manguredjipa Hospital",0.385854511511818,28.7655,0.3534
"12","Nord Kivu","Lubero Hospital",0.399466992985806,29.2301,-0.1537
"13","Nord Kivu","Oicha Hospital",0.44242611432407,29.5027,0.7028
"14","Nord Kivu","Mutwanga Hospital",0.767433012864723,29.7427,0.3383
"15","Nord Kivu","Alimbongo Hospital",0.772620764942809,29.1831,-0.3633
"16","Ituri","Mambasa Hospital",0.837485443959218,29.0353,1.3651
"17","Nord Kivu","Kayna Hospital",1.36105439121591,29.166,-0.607
"18","Ituri","Boga Hospital",2.20339212818278,29.9556,1.0299
"19","Nord Kivu","Kamango Hospital",2.74841920873281,29.8947,0.6165
"20","Nord Kivu","Mweso Hospital",2.88716476234935,29.0308,-1.1156
