"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"2","Nord Kivu","Katwa Hospital",0,29.3706,0.1164
"3","Nord Kivu","Kyondo Hospital",0,29.3991,4e-04
"4","Nord Kivu","Lubero Hospital",0,29.2301,-0.1537
"5","Nord Kivu","Mabalako Hospital",0,29.314,0.6064
"6","Nord Kivu","Musienene Hospital",0,29.2478,0.017
"7","Nord Kivu","Oicha Hospital",0,29.5027,0.7028
"8","Nord Kivu","Vuhovi Hospital",0,29.4062,0.1426
"9","Nord Kivu","Kalunguta Hospital",0.0276435907099659,29.444,0.4881
"10","Nord Kivu","Masereka Hospital",0.0653763492558047,29.3143,-0.1392
"11","Nord Kivu","Butembo Hospital",0.157212442348223,29.2227,0.118
"12","Nord Kivu","Kayna Hospital",0.224078408238771,29.166,-0.607
"13","Nord Kivu","Biena Hospital",0.232549061570174,28.8865,0.3208
"14","Nord Kivu","Alimbongo Hospital",0.451766020748384,29.1831,-0.3633
"15","Nord Kivu","Manguredjipa Hospital",0.604864082477276,28.7655,0.3534
"16","Nord Kivu","Mutwanga Hospital",0.617939121912422,29.7427,0.3383
"17","Ituri","Mambasa Hospital",0.897639751241405,29.0353,1.3651
"18","Nord Kivu","Kamango Hospital",0.96390260830097,29.8947,0.6165
"19","Ituri","Boga Hospital",1.15136000331241,29.9556,1.0299
"20","Nord Kivu","Mweso Hospital",1.75018877937221,29.0308,-1.1156
