"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Ituri","Bunia Hospital",0,30.2515,1.5623
"2","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"3","Nord Kivu","Biena Hospital",0,28.8865,0.3208
"4","Nord Kivu","Katwa Hospital",0,29.3706,0.1164
"5","Nord Kivu","Lubero Hospital",0,29.2301,-0.1537
"6","Nord Kivu","Mabalako Hospital",0,29.314,0.6064
"7","Nord Kivu","Vuhovi Hospital",0,29.4062,0.1426
"8","Nord Kivu","Kalunguta Hospital",0.0276435907099659,29.444,0.4881
"9","Nord Kivu","Masereka Hospital",0.0653763492558047,29.3143,-0.1392
"10","Nord Kivu","Musienene Hospital",0.104382267667049,29.2478,0.017
"11","Nord Kivu","Butembo Hospital",0.157212442348223,29.2227,0.118
"12","Nord Kivu","Kyondo Hospital",0.269902255436584,29.3991,4e-04
"13","Nord Kivu","Manguredjipa Hospital",0.385854511511818,28.7655,0.3534
"14","Nord Kivu","Oicha Hospital",0.44242611432407,29.5027,0.7028
"15","Nord Kivu","Alimbongo Hospital",0.470196518918903,29.1831,-0.3633
"16","Ituri","Bambu Hospital",0.720702498989765,30.2446,1.8029
"17","Nord Kivu","Mutwanga Hospital",0.767433012864723,29.7427,0.3383
"18","Ituri","Mambasa Hospital",0.942217418105462,29.0353,1.3651
"19","Nord Kivu","Kayna Hospital",1.058630145192,29.166,-0.607
"20","Ituri","Drodro Hospital",1.35712773127313,30.5326,1.7696
