"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"2","Nord Kivu","Goma Hospital",0,29.1906,-1.663
"3","Nord Kivu","Kalunguta Hospital",0,29.444,0.4881
"4","Nord Kivu","Mabalako Hospital",0,29.314,0.6064
"5","Nord Kivu","Masereka Hospital",0,29.3143,-0.1392
"6","Nord Kivu","Mutwanga Hospital",0,29.7427,0.3383
"7","Ituri","Ariwara Hospital",0.0261314301473497,30.7018,3.1413
"8","Nord Kivu","Vuhovi Hospital",0.0368580962293347,29.4062,0.1426
"9","Nord Kivu","Katwa Hospital",0.0588387519374799,29.3706,0.1164
"10","Nord Kivu","Kayna Hospital",0.0641913505622325,29.166,-0.607
"11","Nord Kivu","Oicha Hospital",0.0750865915647309,29.5027,0.7028
"12","Nord Kivu","Karisimbi Hospital",0.0893809355452974,29.2357,-1.6754
"13","Nord Kivu","Lubero Hospital",0.09034303676219,29.2301,-0.1537
"14","Nord Kivu","Musienene Hospital",0.10438226766296,29.2478,0.017
"15","Nord Kivu","Butembo Hospital",0.157212442343671,29.2227,0.118
"16","Ituri","Mambasa Hospital",0.189015440411688,29.0353,1.3651
"17","Nord Kivu","Kyondo Hospital",0.22351913495563,29.3991,4e-04
"18","Ituri","Aru Hospital",0.307642151608429,30.6124,3.0282
"19","Ituri","Adi Hospital",0.44649047985772,30.7993,3.403
"20","Nord Kivu","Kirotshe Hospital",0.455955551624691,29.031,-1.6123
