"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Central Equatoria","Rodoba Primary Hospital",1.89648701812796,30.8072,3.6001
"2","Central Equatoria","Kimba Primary Hospital",1.9861474977691,30.8525,3.5797
"3","Central Equatoria","Kaya Primary Hospital",2.08982741463464,30.88,3.55
"4","Central Equatoria","Morobo Primary Hospital",2.10386937354247,30.7752,3.6878
"5","Central Equatoria","Yaya Primary Hospital",2.10567836096231,30.8787,3.5499
"6","Central Equatoria","Hai Jebel Primary Hospital",2.13554791820415,30.8749,3.5426
"7","Central Equatoria","Yondu Primary Hospital",2.36265565600568,30.8983,3.6628
"8","Central Equatoria","Aboroto Primary Hospital",2.39981956485022,30.7097,3.6604
"9","Central Equatoria","Lujulo Primary Hospital",2.40872968816679,30.6646,3.6787
"10","Central Equatoria","Jombu Primary Hospital",2.42647759831642,30.7805,3.8114
"11","Central Equatoria","Liggi Primary Hospital",2.48945926237507,30.7707,3.8365
"12","Central Equatoria","Kangai Primary Hospital",2.50944267844026,30.6429,3.6874
"13","Central Equatoria","Kendila Primary Hospital",2.5898286433151,30.8918,3.7564
"14","Central Equatoria","Mugwo Primary Hospital",2.63080460527931,30.7401,3.8898
"15","Central Equatoria","Yugufe Primary Hospital",2.65453818845,30.6933,3.7158
"16","Central Equatoria","Payawa Primary Hospital",2.79362528775184,30.7392,3.9538
"17","Central Equatoria","Panyume Primary Hospital",2.85158047288269,30.9509,3.781
"18","Central Equatoria","Aloto Primary Hospital",2.95519100197013,30.625,3.7495
"19","Central Equatoria","Rwonyi Primary Hospital",3.05323051535913,30.715,4.0559
"20","Central Equatoria","Geri Primary Hospital",3.07867570835115,30.946,3.8312
