Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Uganda,Central,Mulago Old National Referal Hospital,Regional Referral Hospital,MoH,0.3467,32.5762,Other,Referral,Hospital
Uganda,Western,Kabarole COU Hospital,Hospital,Private not for profit,0.651,30.269,GPS,Hospital,Hospital
Uganda,Western,Kagadi Hospital,Hospital,MoH,0.951,30.806,GPS,Hospital,Hospital
Uganda,Western,Kagando Hospital,Hospital,Private not for profit,0.025,29.891,GPS,Hospital,Hospital
Uganda,Western,Kambuga Hospital,Hospital,MoH,-0.832,29.772,GPS,Hospital,Hospital
Uganda,Western,Kilembe Hospital,Hospital,Private not for profit,0.205,30.01,GPS,Hospital,Hospital
Uganda,Western,Kiryandongo Hospital,Hospital,MoH,1.8802,32.0692,GPS,Hospital,Hospital
Uganda,Western,Kisiizi Hospital,Hospital,Private not for profit,-0.9886,29.9488,GPS,Hospital,Hospital
Uganda,Western,Kisoro Hospital,Hospital,MoH,-1.277,29.684,GPS,Hospital,Hospital
Uganda,Western,Kitagata Hospital,Hospital,MoH,-0.6735,30.1525,Other,Hospital,Hospital
Uganda,Western,Kyenjojo Hospital,Hospital,MoH,0.639,30.623,GPS,Hospital,Hospital
Uganda,Western,Masindi General Hospital,Hospital,MoH,1.6854,31.7266,Google Earth,Hospital,Hospital
Uganda,Eastern,Soroti Regional Referral Hospital,Regional Referral Hospital,MoH,1.7301,33.6238,Google Earth,Referral,Hospital
Uganda,Western,Mutolere Hospital,Hospital,Private not for profit,-1.258,29.719,GPS,Hospital,Hospital
Uganda,Western,Nyakibale Hospital,Hospital,Private not for profit,-0.804,29.926,GPS,Hospital,Hospital
Uganda,Western,Rugarama Hospital,Hospital,Private not for profit,-1.237,29.975,GPS,Hospital,Hospital
Uganda,Western,Ruharo Mission Hospital,Hospital,Private not for profit,-0.613,30.63,GPS,Hospital,Hospital
Uganda,Western,Rushere Community Hospital,Hospital,Private not for profit,-0.2367,30.9611,Other,Hospital,Hospital
Uganda,Western,Tumu Hospital,Hospital,Private not for profit,-1.1466,30.1779,Google Earth,Hospital,Hospital
Uganda,Western,Virika Hospital,Hospital,Private not for profit,0.6332,30.2783,GPS,Hospital,Hospital
Uganda,Eastern,Jinja Regional Referral Hospital,Hospital,MoH,0.4302,33.2108,Other,Hospital,Hospital
