Country,Admin1,Facility name,Facility type,Ownership,Latitude,Longitude,LL source,type,FacilityType
Democratic Republic of the Congo,Congo Central,Nsanda Kizulu Centre Hôpital,Centre Hôpital,Publique,-5.6125,13.4428,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Nselo Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.2628,15.3352,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Nsona Mpangu Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.5164,13.9092,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Onatra Centre Hôpital,Centre Hôpital,Publique,-5.8449,13.0465,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Onatra Hôpital,Hôpital,Publique,-5.8225,13.4586,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Sampa Centre Hôpital,Centre Hôpital,Publique,-5.8567,13.0621,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Seke Banza Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.3346,13.2793,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Sona Bata Hôpital Général de Référence,Hôpital Général de Référence,Publique,-4.8983,15.1588,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Tsumba Kituti Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.6529,13.1915,GPS,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Vaku Hôpital Général de Référence,Hôpital Général de Référence,Publique,-5.2311,13.1164,Geonames,Hôpital,Hospital
Democratic Republic of the Congo,Congo Central,Zongo Centre Hôpital,Centre Hôpital,Publique,-4.7864,14.8921,GPS,Centre Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Basankusu Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.2186,19.7912,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Bikoro Hôpital Général de Référence,Hôpital Général de Référence,Publique,-0.7257,18.1246,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Bolenge Hôpital Général de Référence,Hôpital Général de Référence,Publique,0.0064,18.211,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Bolomba Hôpital Général de Référence,Hôpital Général de Référence,Publique,0.3535,19.223,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Bomongo Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.38,18.3506,Other,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Djombo Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.3486,20.3829,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Iboko Hôpital Général de Référence,Hôpital Général de Référence,Publique,-1.1132,18.5334,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Ingende Hôpital Général de Référence,Hôpital Général de Référence,Publique,-0.3086,18.9652,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Irebu Hôpital Général de Référence,Hôpital Général de Référence,Publique,-0.6131,17.7402,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Lilanga Bobangi Hôpital Général de Référence,Hôpital Général de Référence,Publique,-0.4406,17.7424,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Lotumbe Hôpital Général de Référence,Hôpital Général de Référence,Publique,-0.5246,19.4256,Other,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Lukolela Hôpital Général de Référence,Hôpital Général de Référence,Publique,-1.0618,17.1774,Google Earth,Hôpital,Hospital
Democratic Republic of the Congo,Equateur,Makanza Hôpital Général de Référence,Hôpital Général de Référence,Publique,1.6144,19.0943,Google Earth,Hôpital,Hospital
