"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"2","Nord Kivu","Goma Hospital",0,29.1906,-1.663
"3","Nord Kivu","Kalunguta Hospital",0,29.444,0.4881
"4","Ituri","Mambasa Hospital",0.0261469349506991,29.0353,1.3651
"5","Nord Kivu","Vuhovi Hospital",0.0368580962293347,29.4062,0.1426
"6","Nord Kivu","Mabalako Hospital",0.044702053962653,29.314,0.6064
"7","Nord Kivu","Katwa Hospital",0.0588387519374799,29.3706,0.1164
"8","Nord Kivu","Kayna Hospital",0.0641913505622325,29.166,-0.607
"9","Nord Kivu","Mutwanga Hospital",0.0695734833873654,29.7427,0.3383
"10","Nord Kivu","Oicha Hospital",0.0750865915647309,29.5027,0.7028
"11","Nord Kivu","Karisimbi Hospital",0.0893809355452974,29.2357,-1.6754
"12","Nord Kivu","Musienene Hospital",0.10438226766296,29.2478,0.017
"13","Nord Kivu","Butembo Hospital",0.157212442343671,29.2227,0.118
"14","Nord Kivu","Masereka Hospital",0.199297323097705,29.3143,-0.1392
"15","Nord Kivu","Kyondo Hospital",0.22351913495563,29.3991,4e-04
"16","Nord Kivu","Lubero Hospital",0.3322909008612,29.2301,-0.1537
"17","Nord Kivu","Kirotshe Hospital",0.455955551624691,29.031,-1.6123
"18","Nord Kivu","Alimbongo Hospital",0.611653220656584,29.1831,-0.3633
"19","Sud Kivu","Minova Hospital",0.707970301468954,29.0141,-1.7164
"20","Ituri","Boga Hospital",0.729932621188925,29.9556,1.0299
