"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Central Equatoria","Nyori Lasu Primary Hospital",10.1013354078781,30.4239,3.9401
"2","Central Equatoria","Lasu Primary Hospital",10.2200035098827,30.4671,3.9498
"3","Central Equatoria","Kaya Primary Hospital",10.2915841604082,30.88,3.55
"4","Central Equatoria","Mitika Primary Hospital",10.3016516187885,30.5064,3.9582
"5","Central Equatoria","Yaya Primary Hospital",10.3074351067359,30.8787,3.5499
"6","Central Equatoria","Kimba Primary Hospital",10.3338213089362,30.8525,3.5797
"7","Central Equatoria","Hai Jebel Primary Hospital",10.3373046639777,30.8749,3.5426
"8","Central Equatoria","Robeke Primary Hospital",10.3985205147295,30.5386,3.977
"9","Central Equatoria","Rubeke Primary Hospital",10.4170293369915,30.5429,3.9791
"10","Central Equatoria","Agonyakiri Primary Hospital",10.4395114877206,30.5144,3.9285
"11","Central Equatoria","Abegi Primary Hospital",10.4953087384431,30.5646,4.0131
"12","Central Equatoria","Yondu Primary Hospital",10.6067955919498,30.8983,3.6628
"13","Central Equatoria","Kagelu Primary Hospital",10.6444107466015,30.6121,4.0518
"14","Central Equatoria","Kergulu Primary Hospital",10.6444107466015,30.6126,4.0519
"15","Central Equatoria","Rodoba Primary Hospital",10.6542121761735,30.8072,3.6001
"16","Central Equatoria","Espiscapal Church Primary Hospital",10.8022146877607,30.6654,4.0949
"17","Central Equatoria","Yei County Hospital",10.8044035116675,30.6735,4.0892
"18","Central Equatoria","Goja Primary Hospital",10.814428670645,30.6363,4.0064
"19","Central Equatoria","Yei River Primary Hospital",10.8229098829109,30.6752,4.0881
"20","Central Equatoria","St Martha Primary Hospital",10.8305212593401,30.6765,4.0923
