"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"2","Nord Kivu","Biena Hospital",0,28.8865,0.3208
"3","Nord Kivu","Katwa Hospital",0,29.3706,0.1164
"4","Nord Kivu","Mabalako Hospital",0,29.314,0.6064
"5","Nord Kivu","Masereka Hospital",0,29.3143,-0.1392
"6","Nord Kivu","Vuhovi Hospital",0,29.4062,0.1426
"7","Nord Kivu","Kalunguta Hospital",0.0276435907095027,29.444,0.4881
"8","Nord Kivu","Lubero Hospital",0.09034303676219,29.2301,-0.1537
"9","Nord Kivu","Musienene Hospital",0.10438226766296,29.2478,0.017
"10","Nord Kivu","Butembo Hospital",0.157212442343671,29.2227,0.118
"11","Nord Kivu","Kyondo Hospital",0.22351913495563,29.3991,4e-04
"12","Nord Kivu","Manguredjipa Hospital",0.283593003726216,28.7655,0.3534
"13","Nord Kivu","Alimbongo Hospital",0.296358114941572,29.1831,-0.3633
"14","Nord Kivu","Oicha Hospital",0.442426114312552,29.5027,0.7028
"15","Nord Kivu","Mutwanga Hospital",0.767433012833685,29.7427,0.3383
"16","Ituri","Mambasa Hospital",0.819056235818515,29.0353,1.3651
"17","Nord Kivu","Kayna Hospital",0.992069815161812,29.166,-0.607
"18","Ituri","Bunia Hospital",1.41893790169555,30.2515,1.5623
"19","Ituri","Bambu Hospital",2.08498841726667,30.2446,1.8029
"20","Ituri","Boga Hospital",2.20339212810822,29.9556,1.0299
