"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"2","Nord Kivu","Biena Hospital",0,28.8865,0.3208
"3","Nord Kivu","Goma Hospital",0,29.1906,-1.663
"4","Nord Kivu","Kalunguta Hospital",0,29.444,0.4881
"5","Nord Kivu","Lubero Hospital",0,29.2301,-0.1537
"6","Nord Kivu","Mabalako Hospital",0,29.314,0.6064
"7","Nord Kivu","Masereka Hospital",0,29.3143,-0.1392
"8","Nord Kivu","Mutwanga Hospital",0,29.7427,0.3383
"9","Ituri","Ariwara Hospital",0.0322517986703511,30.7018,3.1413
"10","Nord Kivu","Katwa Hospital",0.0588387519374799,29.3706,0.1164
"11","Nord Kivu","Karisimbi Hospital",0.0893809355452974,29.2357,-1.6754
"12","Nord Kivu","Musienene Hospital",0.10438226766296,29.2478,0.017
"13","Nord Kivu","Oicha Hospital",0.125766540764677,29.5027,0.7028
"14","Nord Kivu","Butembo Hospital",0.157212442343671,29.2227,0.118
"15","Ituri","Mambasa Hospital",0.207444604396481,29.0353,1.3651
"16","Nord Kivu","Kyondo Hospital",0.22351913495563,29.3991,4e-04
"17","Nord Kivu","Vuhovi Hospital",0.230363104414518,29.4062,0.1426
"18","Nord Kivu","Alimbongo Hospital",0.239577695788476,29.1831,-0.3633
"19","Ituri","Aru Hospital",0.261324829547451,30.6124,3.0282
"20","Nord Kivu","Manguredjipa Hospital",0.385854511494446,28.7655,0.3534
